"세종특별자치시","외국식 음식점업",67,358,24562,22000,5623,1638,14739,5057,54,251,21555,19164,9638,4572,1761,3193,4360
"세종특별자치시","제과점업",57,303,21262,19963,2442,1789,15732,2201,53,271,21416,19109,11177,3227,1368,3337,3113
"세종특별자치시","피자, 햄버거, 샌드위치 및 유사 음식점업",77,393,21714,19683,3650,1846,14187,3420,87,448,30750,27921,13362,5710,2464,6386,5500
"세종특별자치시","치킨전문점",145,425,29478,25860,3205,2676,19979,2741,168,512,39098,33905,19161,5675,3037,6032,5415
"세종특별자치시","김밥, 기타 간이음식점 및 포장 판매점",105,358,18885,16865,2719,2098,12048,2446,114,421,26705,23049,12360,3904,2339,4446,3786
"세종특별자치시","생맥주 및 기타 주점업",58,151,7796,6801,1045,877,4879,960,59,147,8300,7160,3418,1311,1156,1275,1257
"세종특별자치시","커피 및 기타 비알코올 음료점업",106,435,15758,14556,3266,2276,9014,3064,117,398,20357,16983,7280,3980,2751,2973,3626
"세종특별자치시","자동차 전문 수리업",24,102,11099,10018,2448,403,7167,2008,33,146,18154,15106,7401,4342,872,2491,3807
"세종특별자치시","두발 미용업",34,139,6407,5777,1539,890,3348,1416,40,136,6985,6045,684,1615,957,2788,1504
"세종특별자치시","가정용 세탁업",52,112,4780,3899,910,574,2415,788,59,112,6324,4860,944,1030,697,2189,893
"세종특별자치시","기타 프랜차이즈",154,570,54522,48327,6271,4046,38010,5831,132,480,58376,56458,32576,7798,3207,12877,7017
"경기도","합계",52390,215358,17844193,16468065,2329600,1208920,12929545,2110521,54586,229250,20871955,19060540,11998014,2712812,1470164,2879550,2611651
"경기도","체인화 편의점",10536,47714,5505437,5307758,414629,175613,4717516,343955,10764,56528,6947792,6591569,4906020,544871,220455,920223,521488
"경기도","문구용품 및 회화용품 소매업",459,1255,178772,163478,14673,11230,137575,12948,456,1210,185209,169446,127636,13831,12537,15442,13571
"경기도","의약품 및 의료용품 소매업",928,3268,971608,882553,75726,29384,777443,67809,976,3431,966174,897526,717080,74196,31769,74482,68802
"경기도","안경 및 렌즈 소매업",687,2049,249647,215981,37563,31170,147248,34429,708,2115,266591,239535,129142,42004,37378,31012,39563
"경기도","한식 음식점업",7602,33158,2374282,2151664,407538,219036,1525090,392846,8144,34733,2741220,2452405,1281796,490411,255534,424665,482166
"경기도","외국식 음식점업",2051,11764,763105,671811,164127,70751,436933,155207,2037,11165,818059,727929,359365,175099,84909,108556,171208
"경기도","제과점업",1832,9095,831010,779773,85766,59835,634172,79689,1847,8714,881250,821250,584052,92448,68762,75988,90658
"경기도","피자, 햄버거, 샌드위치 및 유사 음식점업",2834,15208,882458,802639,146713,72341,583585,140135,3037,15985,988323,872221,471295,176418,87631,136877,173353
"경기도","치킨전문점",5883,16243,1087521,947103,94582,75558,776963,85490,6122,16094,1392945,1211966,768977,122701,100248,220039,121565
"경기도","김밥, 기타 간이음식점 및 포장 판매점",3262,12134,646995,575507,102053,62741,410713,96845,3411,12278,780692,685219,370123,124502,79496,111097,122127
"경기도","생맥주 및 기타 주점업",2419,8062,478642,422773,71268,55050,296455,65455,2188,6877,451077,385992,204846,69363,53163,58621,68706
"경기도","커피 및 기타 비알코올 음료점업",4139,18018,782879,698660,149151,108999,440510,142380,4353,19521,892115,782931,320899,178426,132257,151350,171316
"경기도","자동차 전문 수리업",1625,6914,856857,772099,218404,34489,519206,175303,1606,7547,901472,847304,421708,223984,39659,161952,210343
"경기도","두발 미용업",1198,6421,287534,259317,74081,38286,146950,63827,1199,6861,341709,298717,79993,95765,44889,78069,82584
"경기도","가정용 세탁업",1382,2738,144992,122479,21847,13889,86743,18569,1461,2954,181887,145669,61268,24009,19903,40488,21157
"경기도","기타 프랜차이즈",5553,21317,1802454,1694470,251479,150548,1292443,235634,6277,23236,2135441,1930863,1193814,264785,201575,270688,253043
"강원도","합계",7117,23774,2138913,1917719,233876,87429,1596414,201823,7509,25680,2488958,2242434,1485059,274515,115337,367523,262988
"강원도","체인화 편의점",1704,6422,800667,764918,59284,20337,685297,46343,1801,7137,921707,848330,622645,63180,32339,130166,61061
"강원도","문구용품 및 회화용품 소매업",72,152,20320,18597,1025,689,16883,805,72,142,16889,13972,10453,1085,688,1745,1009
"강원도","의약품 및 의료용품 소매업",97,300,114209,104836,6648,2183,96005,5812,110,320,110942,101639,80895,6109,3592,11043,5700
"강원도","안경 및 렌즈 소매업",82,231,31340,26284,5462,2502,18320,4179,84,236,29186,24902,14037,4548,2840,3478,4312
"강원도","한식 음식점업",729,2623,168981,149399,26966,10940,111493,24791,845,2994,221191,195530,109196,34807,15128,36399,34471
"강원도","외국식 음식점업",166,1049,65223,57189,13295,3622,40272,12231,189,1191,88416,81613,37290,21819,5573,16931,20606
"강원도","제과점업",230,872,79775,73982,7722,4058,62202,6842,230,948,80887,74702,50048,9997,5433,9224,9905
"강원도","피자, 햄버거, 샌드위치 및 유사 음식점업",438,1722,105295,92762,15704,6635,70423,14453,497,2013,124406,111756,64075,18934,5974,22773,18307
"강원도","치킨전문점",1043,2402,144553,117506,8571,7360,101575,7982,1072,2358,171617,145571,104262,11650,7698,21961,11172
"강원도","김밥, 기타 간이음식점 및 포장 판매점",401,1279,66896,58128,9802,4133,44193,9163,388,1158,68883,58083,35598,9075,5094,8317,8947
"강원도","생맥주 및 기타 주점업",430,1000,54256,45864,5494,4473,35897,4943,375,821,48808,39234,22482,5792,4402,6558,5569
"강원도","커피 및 기타 비알코올 음료점업",473,1830,78212,69139,15758,7007,46374,14918,504,2012,90386,75669,35234,19266,8427,12743,19177
"강원도","자동차 전문 수리업",481,1549,157493,140649,31781,2850,106018,25750,513,1881,199537,182794,104431,39969,4488,33906,37923
"강원도","두발 미용업",52,223,10281,9185,2741,1018,5426,2495,45,170,8988,8267,1738,2497,1159,2872,1964
"강원도","가정용 세탁업",76,153,7044,5595,969,512,4114,840,83,218,9516,7533,2104,1507,820,3103,1361
"강원도","기타 프랜차이즈",643,1967,234368,183686,22654,9110,151922,20276,701,2080,297599,272839,190572,24280,11683,46305,21504
"충청북도","합계",6799,23228,2034740,1850235,235481,98744,1516010,206801,7116,24370,2192270,1909813,1254017,266212,121186,268399,254848
"충청북도","체인화 편의점",1426,5598,663086,636183,48249,16593,571341,39653,1458,5915,690509,634468,457162,50728,19216,107361,48739
"충청북도","문구용품 및 회화용품 소매업",67,182,36764,33286,2214,1247,29825,1418,60,173,28936,24667,19148,2334,1108,2078,2200
"충청북도","의약품 및 의료용품 소매업",69,288,92372,81770,8574,1793,71403,7359,78,294,101178,88734,68482,8213,1803,10235,7104
"충청북도","안경 및 렌즈 소매업",124,299,35026,28585,5200,2904,20481,4440,126,306,31185,26467,15114,4821,3501,3031,4492
"충청북도","한식 음식점업",972,3609,257003,225722,38398,18738,168586,35603,1090,3764,274295,228599,135849,41805,23200,27745,41058
"충청북도","외국식 음식점업",193,992,63880,55736,13551,4139,38046,12458,204,966,61961,54209,26514,14089,5115,8490,13670
"충청북도","제과점업",265,1029,96399,87968,10008,5943,72017,9330,278,1136,86585,72277,46837,12729,5311,7400,12367
"충청북도","피자, 햄버거, 샌드위치 및 유사 음식점업",396,1670,100998,89878,14094,6490,69294,12750,426,1885,118531,98792,59663,17137,7319,14673,17005
"충청북도","치킨전문점",881,2056,128162,104877,8263,6520,90094,7736,907,2075,165122,128283,93244,12479,9182,13378,12203
"충청북도","김밥, 기타 간이음식점 및 포장 판매점",407,1153,61462,52376,7648,4795,39933,6866,442,1244,73217,58364,33827,9901,7107,7529,9017
"충청북도","생맥주 및 기타 주점업",465,1109,60969,51070,6706,5985,38379,6285,406,989,53913,42624,23480,7529,5971,5644,7382
"충청북도","커피 및 기타 비알코올 음료점업",417,1635,72462,63705,13155,8429,42121,12334,443,1694,86941,70401,33574,16843,12351,7633,16678
"충청북도","자동차 전문 수리업",244,1048,120532,109755,29111,2337,78307,23952,245,1178,131733,122609,69017,34424,3766,15402,32332
